CustomerID,Age,Gender,City,Tenure_Months,MonthlySpend,SatisfactionLevel,IsActive,SignupDate,Churn
CUST0001,58,M,Hanoi,48,366.28,Low,Y,2024-02-22,Yes
CUST0002,55,F,Hanoi,2,157.75,Low,Y,2024-04-23,No
CUST0003,32,Male,Can Tho,18,980.85,Low,Y,2024-07-11,No
CUST0004,,M,Da Nang,7,156.66,Low,N,2023-10-09,Yes
CUST0005,64,F,Can Tho,8,1169.08,Medium,Y,2024-05-27,No
CUST0006,54,M,Hue,5,,Low,N,2022-04-28,Yes
CUST0007,42,F,Hai Phong,41,1009.23,Low,N,2023-04-22,No
CUST0008,62,,Can Tho,41,246.81,High,Y,2022-08-13,No
CUST0009,200,M,Hue,21,1019.28,Low,Y,2022-06-13,No
CUST0010,22,M,Can Tho,57,875.6,,N,2023-11-15,Yes
CUST0011,34,M,Ho Chi Minh City,48,695.57,Medium,N,2024-07-12,Yes
CUST0012,,F,Hanoi,49,104.18,Low,Y,2024-03-26,No
CUST0013,56,M,Hai Phong,25,735.27,Medium,N,2024-01-22,Yes
CUST0014,61,F,Hue,22,9999999.0,Medium,Y,2023-01-24,No
CUST0015,50,M,Can Tho,59,172.37,High,99,2024-09-20,Yes
CUST0016,27,F,Ho Chi Minh City,35,1146.52,High,Y,2024-06-16,Yes
CUST0017,25,F,Da Nang,16,116.61,High,Y,2022-12-16,Yes
CUST0018,66,M,Ho Chi Minh City,43,596.57,High,Y,2023-09-28,No
CUST0019,31,female,Hue,20,508.84,High,N,2023-09-15,Yes
CUST0020,33,,Hanoi,22,74.19,High,Y,2024-04-01,Yes
CUST0021,63,M,Ho Chi Minh City,5,1091.23,Medium,Y,2024-04-09,No
CUST0022,31,M,Hue,60,1064.74,High,N,2022-08-26,No
CUST0023,30,M,Hanoi,43,,Medium,N,2023-12-02,Yes
CUST0024,21,F,Hue,22,970.68,Low,Y,2022-04-18,No
CUST0025,,F,Ho Chi Minh City,18,582.02,Low,N,2024-02-02,Yes
CUST0026,23,M,Ho Chi Minh City,27,608.49,Low,N,2022-03-13,Yes
CUST0027,-3,F,Hai Phong,19,536.46,High,N,2022-04-10,Yes
CUST0028,21,M,Hue,21,115.74,High,N,2024-09-06,Yes
CUST0029,50,M,Ho Chi Minh City,5,734.29,,Y,2023-02-19,Yes
CUST0030,55,M,Can Tho,6,532.11,High,N,2023-04-22,No
CUST0031,33,f,Hai Phong,9,822.44,Medium,N,2023-02-01,No
CUST0032,57,M,Hanoi,35,295.13,Medium,Y,2023-02-08,No
CUST0033,36,M,Hai Phong,54,674.7,Medium,Y,2024-09-10,Yes
CUST0034,26,,Hanoi,57,173.09,High,Y,2023-05-20,Yes
CUST0035,63,F,Ho Chi Minh City,44,779.37,Medium,N,2023-01-03,No
CUST0036,35,M,Hanoi,22,936.79,High,N,2022-12-15,No
CUST0037,53,M,Hanoi,5,1136.81,High,?,2024-01-27,No
CUST0038,55,M,Hai Phong,9,98.1,Medium,Y,2023-04-22,Yes
CUST0039,60,M,Da Nang,50,693.87,Medium,Y,2022-03-26,Yes
CUST0040,,M,Ho Chi Minh City,48,1113.16,Medium,Y,2023-03-26,Yes
CUST0041,42,M,Hai Phong,15,279.51,Medium,N,2023-04-08,Yes
CUST0042,60,M,Hai Phong,22,,Low,N,2023-11-17,No
CUST0043,61,F,Hanoi,8,1058.59,Medium,Y,2024-05-02,Yes
CUST0044,56,F,Da Nang,47,954.39,Medium,Y,2023-10-07,No
CUST0045,20,F,Hanoi,34,1114.41,,Y,2023-07-03,No
CUST0046,57,F,Hue,55,193.32,HIGH,N,2024-07-11,No
CUST0047,62,F,Can Tho,9,270.62,High,N,2024-12-06,No
CUST0048,43,,Da Nang,19,291.71,High,N,2023-08-15,Yes
CUST0049,50,F,Hue,11,807.68,Medium,N,2022-04-22,No
CUST0050,32,M,Ho Chi Minh City,2,103.15,Medium,Y,2023-07-21,Yes
CUST0051,,F,Hai Phong,26,330.58,High,Y,2022-07-08,Yes
CUST0052,62,F,Hanoi,36,336.58,Low,N,2022-08-22,No
CUST0053,66,F,Can Tho,53,0.0,High,N,2024-08-06,No
CUST0054,46,F,Ho Chi Minh City,54,783.31,High,N,2024-04-09,No
CUST0055,22,F,Ho Chi Minh City,18,436.22,High,Y,2022-03-08,No
CUST0056,62,M,Hue,14,,Medium,N,2024-08-14,Yes
CUST0057,31,F,Hai Phong,58,935.27,High,Y,2024-07-16,Yes
CUST0058,40,F,Hai Phong,55,1075.39,Medium,Y,2023-04-09,No
CUST0059,49,M,Hai Phong,22,819.2,Medium,Y,2023-03-20,Yes
CUST0060,43,M,Hanoi,42,542.9,Medium,Y,2022-05-13,No
CUST0011,34,M,Ho Chi Minh City,48,695.57,Medium,N,2024-07-12,Yes
